"Title:","Numbers of Children Adopted from the Trends in Foster Care and Adoption in the United States Database"
"SubTitle:",""
"Time:","2010 - 2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Children?s Bureau (U.S. Department of Health and Human Services) (2024-05-08). Trends in Foster Care and Adoption in the United States: Numbers of Children Adopted, 2010 - 2022. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  094-001-007 doi:https://doi.org/10.6068/DP19C67CA8BFB7"
"ColumnCount:",16
"RowCount:",51

"State","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"California",5864,6242,5562,6981,6966,6524,6542,6079,5471,5541,5938,5710,6459
"Texas",4361,4647,5249,6105,5748,5361,5723,5457,5221,5443,5039,4718,4709
"Florida",3931,3938,4534,4714,4455,3831,3573,3431,3267,3417,3294,2945,3391
"Arizona",2371,1977,2905,3373,3926,4298,3654,3236,3090,2522,2275,2275,2045
"Pennsylvania",2184,2214,2087,2849,2628,2077,1917,1832,1849,1892,1881,2013,2365
"Indiana",1872,1844,2149,2489,2016,1964,1536,1152,850,961,1713,1556,1458
"West Virginia",1831,1856,1683,1699,1410,1070,939,893,852,877,632,698,662
"Illinois",1658,1602,1522,1747,1754,1777,1546,1788,1616,1356,1803,1217,1214
"Michigan",1654,1689,1851,2161,1991,1970,2078,1772,2184,2374,2559,2506,2597
"Oklahoma",1629,1494,1820,2086,2238,2593,2487,2159,1382,1286,1533,1294,1628
"Ohio",1543,1622,1466,1665,1566,1538,1449,1334,1406,1244,1250,1420,1438
"Missouri",1470,1419,1652,1820,1798,1541,1591,1357,1291,1233,1228,1212,1170
"Kentucky",1339,1212,1365,1368,1124,1128,1104,961,909,797,784,824,754
"North Carolina",1303,1317,1521,1546,1522,1528,1501,1311,1176,1222,1329,1463,1615
"Georgia",1291,1395,1585,1668,1469,1401,1121,912,887,1031,915,1071,1196
"New York",1248,1145,974,1648,1697,1789,2018,1873,1997,2184,2182,2214,2205
"Tennessee",1151,1224,1186,1166,1248,1260,1225,1112,1162,1160,815,772,972
"Minnesota",1103,1001,1043,1347,1284,946,899,735,642,583,520,572,627
"Iowa",960,1007,1266,1228,1074,1006,992,1017,878,917,1032,864,801
"Kansas",959,840,985,1227,936,674,870,783,695,674,764,781,694
"Washington",864,1077,1425,1509,1331,1345,1387,1484,1362,1328,1227,1583,1633
"Arkansas",848,768,777,984,1001,971,758,740,743,691,703,591,597
"Massachusetts",835,755,762,998,826,657,669,623,589,799,754,724,725
"Virginia",792,878,844,769,879,801,627,562,632,709,639,755,747
"Alabama",772,794,816,738,714,504,503,512,544,532,587,447,606
"Colorado",745,790,832,919,910,948,839,820,769,782,905,934,983
"Nevada",744,727,796,805,760,740,796,799,729,729,776,821,644
"Louisiana",686,602,749,895,905,766,727,662,622,731,655,641,641
"Wisconsin",649,710,748,711,755,692,669,643,735,800,761,717,755
"Mississippi",604,566,597,719,431,358,400,312,314,352,425,358,355
"Oregon",585,696,877,792,679,707,768,835,847,768,683,657,780
"New Jersey",569,639,788,1162,1054,1106,1185,1072,1024,927,1023,1089,1275
"Utah",556,560,518,639,818,665,632,695,605,587,562,577,574
"South Carolina",501,459,551,529,435,487,433,403,449,506,776,588,529
"Connecticut",483,460,450,661,497,488,529,573,506,497,490,611,687
"Nebraska",392,368,433,560,564,546,483,533,461,586,417,413,437
"Montana",340,313,432,482,396,274,260,310,234,165,225,238,191
"Maine",324,339,247,294,395,456,399,328,295,214,291,296,276
"Alaska",288,339,354,396,353,366,312,357,367,328,309,293,336
"Idaho",286,346,353,328,245,258,185,223,218,206,273,259,313
"Rhode Island",252,231,152,184,254,250,279,211,202,162,191,201,184
"Maryland",252,220,245,293,353,348,361,294,344,355,455,539,644
"South Dakota",247,222,209,211,183,181,110,121,159,177,126,168,133
"North Dakota",225,229,197,197,172,162,132,133,96,104,155,119,145
"New Hampshire",221,241,183,278,211,108,87,118,120,110,96,144,173
"New Mexico",203,319,281,336,297,311,306,295,315,310,345,351,420
"Vermont",175,202,263,260,262,287,216,189,164,179,172,134,161
"Hawaii",158,273,206,206,189,152,129,176,121,160,187,198,216
"Wyoming",109,105,98,120,75,82,89,74,75,86,81,73,75
"Washington DC",97,110,98,98,100,91,110,106,107,110,114,106,129
"Delaware",55,88,116,129,116,108,99,79,84,112,91,95,67



"Publisher:", "Children?s Bureau (U.S. Department of Health and Human Services)"
"Copyright:", "The data contained in Sage Data is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
