"Title:","Numbers of Children in Foster Care on September 30th from the Trends in Foster Care and Adoption in the United States Database"
"SubTitle:",""
"Time:","2010 - 2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Children?s Bureau (U.S. Department of Health and Human Services) (2024-05-08). Trends in Foster Care and Adoption in the United States: Numbers of Children in Foster Care on September 30th, 2010 - 2022. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  094-001-002 doi:https://doi.org/10.6068/DP19C71D2E75E34"
"ColumnCount:",16
"RowCount:",51

"State","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"California",45924,47871,50737,51268,52337,51869,54685,55983,56771,55383,54553,54754,56202
"Florida",22493,23507,23518,24563,24404,24641,23810,22364,19712,18040,19536,19760,18743
"Texas",21358,28042,29991,31427,32960,32150,30738,29990,30358,29625,29613,30109,28947
"Illinois",20743,21086,20568,18317,16840,15930,16113,16654,17049,16894,16772,17189,18256
"Ohio",14946,15449,16017,16387,15730,14961,13725,13205,12519,12223,11877,12069,11940
"New York",14134,14657,15497,16086,16591,17345,17591,19154,22422,22975,23924,24962,26783
"Missouri",12514,13194,12650,12685,12659,12390,12408,12160,11834,10624,9985,9220,8687
"Pennsylvania",12465,13654,14354,15526,16566,16891,16086,16081,14838,14270,14515,14315,21342
"Arizona",12358,14890,13599,13330,13360,15031,17118,17738,16246,14399,13461,10883,9930
"Indiana",11457,13239,15084,16307,18560,20904,19837,17023,14452,12382,11190,10779,12276
"North Carolina",11258,11238,10643,10896,10216,10756,10561,10324,9859,9036,8461,8601,8828
"Georgia",10838,10504,11370,12867,13793,13146,12381,10935,9005,7607,7671,7591,6895
"Tennessee",9053,9227,8839,9290,8929,8558,7694,7599,7342,7763,7440,6975,6007
"Michigan",8940,9529,10661,11676,12121,11918,11599,11977,13512,14615,14522,15091,16424
"Massachusetts",8824,9190,9320,9862,10607,10916,10910,10278,9937,8537,8522,8619,8958
"Washington",8049,8894,9616,10909,11399,11355,10959,10665,10630,10208,9606,9533,10136
"Kentucky",7905,8369,8675,9148,9355,8146,7739,7538,7506,7162,6979,6659,6983
"Oklahoma",7013,7479,8058,8311,8642,9315,10090,11163,11457,10535,9120,8287,7846
"West Virginia",6952,7152,7334,7322,7206,6737,5816,4984,4556,4389,4562,4475,4112
"Kansas",6808,7085,7242,8066,8068,7753,7302,7223,6762,6441,6002,5852,5979
"Wisconsin",6622,6771,7105,7653,7821,7721,7382,7091,6918,6539,6384,6547,6575
"Minnesota",6133,6870,7763,8400,9271,9651,8793,7610,6324,5641,5330,5085,5063
"Alabama",5260,5341,5573,5783,5930,5637,5053,4745,4526,4435,4561,5253,5350
"Virginia",5039,4977,4773,4925,4915,4795,4890,4735,4597,4327,4579,4846,5414
"Oregon",4826,5269,6026,6842,7382,7758,7648,7388,7395,8202,8686,8531,9001
"Colorado",4133,4248,4804,5340,5542,5704,5733,5644,5787,5851,6003,6488,6980
"Iowa",4048,4144,4660,5955,6249,5952,5565,5993,5978,6341,6262,6344,6533
"Nevada",4047,4183,4372,4541,4532,4408,4266,4489,4543,4776,4745,4638,4807
"Arkansas",3952,4515,4280,4127,4234,4776,4880,4548,3806,3797,3711,3732,3756
"Nebraska",3873,3835,3605,3506,3524,4195,4012,3725,3666,4561,5116,5117,5358
"Mississippi",3825,3540,3594,4161,4703,5440,5486,4773,4380,3779,3699,3597,3582
"South Carolina",3793,3944,4070,4521,4456,4041,3968,3726,3461,3188,3113,3821,4487
"Louisiana",3682,3301,3542,3919,4562,4460,4461,4545,4329,3955,4044,4531,4453
"Maryland",3609,3635,3801,3816,3973,3923,3841,3914,4032,4467,4884,5460,6098
"Connecticut",3295,3488,4034,4352,4228,4135,4119,3908,3921,4263,4563,4926,4456
"New Jersey",2786,3188,3788,4430,5526,5946,6527,6874,7138,6946,6848,6440,6892
"Alaska",2690,2828,2860,2879,2781,2739,2824,2653,2190,1982,1854,1835,1791
"Montana",2672,3083,3406,3697,3946,3853,3366,2807,2345,2232,1937,1794,1723
"Maine",2429,2202,2291,2096,1768,1584,1837,1873,1864,1787,1512,1296,1546
"Utah",2067,2119,2373,2488,2611,2954,2838,2704,2960,2709,2813,2701,2886
"New Mexico",1800,1841,2120,2326,2508,2657,2610,2471,2366,2077,1914,1859,1869
"Rhode Island",1723,1823,2140,2200,2003,1846,1654,1838,1798,1789,1707,1806,2086
"South Dakota",1615,1647,1683,1706,1560,1603,1416,1280,1174,1253,1399,1407,1485
"Idaho",1548,1601,1534,1752,1814,1593,1518,1351,1208,1342,1234,1354,1462
"North Dakota",1547,1510,1556,1502,1576,1495,1407,1359,1365,1227,1109,1066,1078
"Hawaii",1340,1418,1593,1706,1687,1607,1605,1360,1221,1085,1079,1122,1234
"New Hampshire",1181,1091,1184,1225,1312,1474,1206,1032,890,850,768,742,839
"Vermont",1096,1054,1078,1245,1308,1270,1323,1332,1123,971,975,1010,933
"Wyoming",756,836,815,994,1091,1085,993,1082,985,981,949,864,939
"Delaware",548,444,467,585,701,791,780,682,635,702,799,845,739
"Washington DC",427,504,577,672,707,751,826,873,871,1034,1216,1431,2066



"Publisher:", "Children?s Bureau (U.S. Department of Health and Human Services)"
"Copyright:", "The data contained in Sage Data is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
