"Title:","Numbers of Children Entering Foster Care from the Trends in Foster Care and Adoption in the United States Database"
"SubTitle:",""
"Time:","2010 - 2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Children?s Bureau (U.S. Department of Health and Human Services) (2024-05-08). Trends in Foster Care and Adoption in the United States: Numbers of Children Entering Foster Care, 2010 - 2022. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  094-001-003 doi:https://doi.org/10.6068/DP19C71D1EE8D32"
"ColumnCount:",16
"RowCount:",51

"State","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"California",20609,22892,24748,28138,27178,28016,31254,32205,33696,33757,31999,32171,33536
"Florida",11088,13212,13392,15597,16175,16799,17677,17677,15804,14310,15674,15846,14384
"Ohio",9701,10505,10720,12410,12325,11845,10772,10360,9924,9875,9551,9934,9260
"Texas",9486,15127,16434,18455,20497,19840,19193,17319,17357,16920,16619,16903,16109
"Pennsylvania",6961,7434,7254,9528,10155,10998,10899,11290,10946,9788,10289,10687,16526
"Arizona",6874,8368,9365,9607,9173,10057,11729,12722,12209,10790,10663,8488,7891
"Indiana",6212,7291,8426,9180,10441,12826,12785,11175,9107,7893,7663,7522,9170
"New York",6097,6353,6576,8337,8600,9428,8829,9273,9691,9345,10594,11122,12605
"Missouri",5876,6819,6499,6889,6963,6774,7350,6906,7121,6401,6195,5911,5791
"Illinois",5718,6944,7837,6709,5751,4843,4455,4929,4893,4648,4617,4342,5465
"Tennessee",5621,6185,5860,6719,6888,6679,6015,5979,5402,6700,6431,6310,5886
"Georgia",5321,4718,4812,6468,8082,7821,8551,8581,7519,6005,6243,6419,5469
"North Carolina",5124,5522,4759,5334,5334,5830,6032,5597,5798,5300,5026,5110,4769
"Kentucky",4963,5100,5204,6629,7492,6009,5698,5383,5766,5540,5627,5120,5500
"West Virginia",4471,4710,4707,5105,5154,5020,4448,3971,3825,3467,3460,3486,2955
"Minnesota",4213,4552,5007,6045,6743,7408,7277,6911,6212,6059,5948,5911,5681
"Massachusetts",3836,4400,4594,5420,5789,6103,6661,6250,6688,5425,5300,5371,5516
"Michigan",3625,3837,4386,5770,6208,6854,6512,6217,7793,7716,7145,7392,8192
"Wisconsin",3615,3616,4001,4620,4988,5175,4783,4700,4818,4668,4432,4442,4523
"Washington",3518,3849,4308,5336,5568,5922,5736,5704,6070,5756,5299,5643,6249
"Oklahoma",3509,3472,4051,4529,4705,5128,5218,5458,5860,6033,5385,4836,4335
"Alabama",3350,3631,3504,3985,4075,4098,3772,3605,3192,3041,2763,3257,3063
"Colorado",3097,3542,3554,4420,4785,5134,5277,4926,4686,4820,5042,5300,5753
"Kansas",3096,3172,3032,4212,4227,3997,3880,3984,3844,3963,3724,3439,3567
"Louisiana",3064,2358,2414,2769,3654,3527,3729,4099,4080,3475,3131,3731,3344
"South Carolina",2868,2709,2961,3958,4098,3686,3758,3644,3407,2939,2796,2938,3393
"Iowa",2699,2904,2628,3769,4181,4129,3848,4007,3908,4500,4324,4423,4725
"Nevada",2650,2820,2788,3231,3154,3367,3415,3491,3343,3382,3125,2778,2883
"Virginia",2372,2335,2505,2800,2940,2741,2940,2879,3040,2583,2653,2614,2779
"Arkansas",2336,2964,3106,3071,3123,3778,4103,4065,3542,3798,3846,3856,3977
"Oregon",2297,2413,2743,3334,3586,4157,3884,3914,3534,3797,4215,4250,4826
"Mississippi",2150,2029,1800,2396,2520,3195,3695,3082,3054,2509,2424,2368,2577
"Nebraska",1929,2032,2069,2209,1869,2644,2521,2351,2204,2708,2806,3151,3373
"Maryland",1541,1538,1673,1931,2413,2366,2250,2114,2097,2302,2653,2806,2793
"New Jersey",1468,1534,1832,2679,3540,3726,4271,4594,5056,5361,5253,4535,4653
"Utah",1459,1522,1625,2020,1979,2284,2365,2270,2393,2182,2262,2034,2226
"Montana",1398,1697,2022,2178,2312,2361,2151,1940,1392,1434,1298,1041,958
"Connecticut",1250,1168,1345,2050,2076,2002,2040,1765,1825,1810,1693,2320,2482
"Alaska",1151,1324,1353,1496,1337,1321,1340,1513,1162,1018,916,913,887
"Maine",1130,909,1115,1246,1080,820,916,902,916,962,911,552,760
"Idaho",1101,1346,1081,1322,1419,1249,1314,1201,1138,1226,1084,1230,1386
"South Dakota",947,1013,1115,1215,1144,1184,1151,1039,956,930,1190,1407,1459
"New Mexico",927,929,1184,1447,1679,1902,1872,1795,2120,1858,1722,1779,1766
"Hawaii",906,1037,1029,1272,1224,1179,1163,1189,1076,1022,1071,1025,1023
"North Dakota",893,950,990,987,1165,1086,1075,1037,999,951,856,789,819
"Rhode Island",812,777,880,1111,1323,1263,1087,1224,1320,1254,1234,1219,1465
"New Hampshire",740,591,677,846,902,967,846,713,524,600,535,495,522
"Wyoming",716,828,854,1042,1068,1134,986,1141,979,1005,976,984,975
"Vermont",637,591,556,736,881,756,776,958,788,677,606,664,555
"Delaware",370,294,273,300,403,448,501,397,314,379,484,537,411
"Washington DC",189,243,212,360,336,321,395,435,383,396,484,558,745



"Publisher:", "Children?s Bureau (U.S. Department of Health and Human Services)"
"Copyright:", "The data contained in Sage Data is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
