U.S. Temperature
Year,Annual_Mean,Lowess(5)
1880,-0.55,-0.31
1881,0.08,-0.35
1882,-0.12,-0.38
1883,-0.76,-0.40
1884,-0.74,-0.43
1885,-0.47,-0.43
1886,-0.32,-0.38
1887,-0.21,-0.27
1888,-0.38,-0.19
1889,0.21,-0.18
1890,0.11,-0.22
1891,-0.27,-0.25
1892,-0.54,-0.30
1893,-0.74,-0.35
1894,0.02,-0.37
1895,-0.79,-0.35
1896,0.03,-0.32
1897,-0.24,-0.26
1898,-0.31,-0.21
1899,-0.51,-0.18
1900,0.42,-0.21
1901,-0.08,-0.25
1902,-0.17,-0.28
1903,-0.68,-0.31
1904,-0.48,-0.34
1905,-0.52,-0.34
1906,-0.09,-0.29
1907,-0.29,-0.20
1908,0.07,-0.12
1909,-0.30,-0.10
1910,0.25,-0.11
1911,0.06,-0.12
1912,-0.91,-0.14
1913,-0.17,-0.21
1914,-0.03,-0.30
1915,-0.23,-0.34
1916,-0.60,-0.34
1917,-1.04,-0.35
1918,-0.04,-0.35
1919,-0.19,-0.28
1920,-0.48,-0.21
1921,1.03,-0.17
1922,0.08,-0.14
1923,-0.13,-0.09
1924,-0.72,-0.04
1925,0.32,-0.04
1926,-0.01,-0.04
1927,0.12,-0.02
1928,-0.01,0.03
1929,-0.58,0.06
1930,0.06,0.13
1931,0.94,0.22
1932,-0.05,0.29
1933,0.59,0.32
1934,1.15,0.30
1935,-0.01,0.29
1936,0.11,0.30
1937,-0.17,0.28
1938,0.71,0.28
1939,0.75,0.29
1940,-0.01,0.30
1941,0.47,0.25
1942,0.01,0.17
1943,0.09,0.13
1944,0.02,0.11
1945,-0.08,0.09
1946,0.58,0.08
1947,0.04,0.06
1948,-0.11,0.02
1949,0.16,-0.00
1950,-0.26,0.04
1951,-0.38,0.13
1952,0.26,0.19
1953,0.85,0.24
1954,0.78,0.29
1955,-0.08,0.30
1956,0.25,0.25
1957,0.13,0.15
1958,0.06,0.08
1959,0.16,0.05
1960,-0.22,0.03
1961,0.02,0.01
1962,-0.00,-0.01
1963,0.19,-0.03
1964,-0.10,-0.05
1965,-0.11,-0.08
1966,-0.21,-0.13
1967,-0.08,-0.16
1968,-0.29,-0.18
1969,-0.22,-0.18
1970,-0.15,-0.15
1971,-0.12,-0.11
1972,-0.31,-0.07
1973,0.24,-0.06
1974,0.19,-0.04
1975,-0.20,-0.05
1976,-0.24,-0.09
1977,0.35,-0.12
1978,-0.47,-0.09
1979,-0.54,-0.07
1980,0.24,-0.06
1981,0.65,-0.05
1982,-0.32,-0.00
1983,-0.00,0.05
1984,0.03,0.12
1985,-0.34,0.19
1986,0.73,0.27
1987,0.77,0.35
1988,0.35,0.45
1989,-0.09,0.48
1990,0.85,0.43
1991,0.66,0.38
1992,0.33,0.37
1993,-0.37,0.33
1994,0.47,0.26
1995,0.36,0.28
1996,-0.08,0.39
1997,0.13,0.51
1998,1.26,0.60
1999,1.03,0.69
2000,0.68,0.78
2001,0.93,0.80
2002,0.68,0.77
2003,0.67,0.78
2004,0.61,0.80
2005,0.90,0.78
2006,1.24,0.72
2007,0.91,0.68
2008,0.16,0.63
2009,0.22,0.57
2010,0.57,0.51
2011,0.66,0.50
2012,1.80,0.60
2013,0.26,0.76
2014,0.29,0.88
2015,1.34,0.96
2016,1.63,1.04
2017,1.42,1.12
2018,0.87,1.16
2019,0.42,1.12
2020,1.33,1.07
2021,1.39,1.03
2022,0.78,0.99
